cartera_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,cantidad_prestamos,valor_rd
355,3,Baní,12,2018,3,711,578469842
356,4,Barahona,12,2018,3,2047,572386126
357,5,Bonao,12,2018,3,579,496491695
358,6,Comendador,12,2018,3,1596,292578715
359,7,Constanza,12,2018,3,1143,783942226
360,8,Cotuí,12,2018,3,2003,1155417409
361,9,Dajabón,12,2018,3,1226,510974909
362,10,El Seibo,12,2018,3,1097,362455511
363,11,Hato Mayor,12,2018,3,1151,909570628
364,12,Higüey,12,2018,3,1086,777645044
365,13,La Vega,12,2018,3,1091,1028390567
366,15,Moca,12,2018,3,905,672595439
367,16,Monte Plata,12,2018,3,1330,1309135868
368,17,Montecristí,12,2018,3,1179,786395493
369,18,Nagua,12,2018,3,1155,491273884
370,19,Neyba,12,2018,3,1662,501335423
371,20,Puerto Plata,12,2018,3,1865,610600565
372,21,Río San Juan,12,2018,3,1066,466521201
373,22,Salcedo,12,2018,3,846,429399535
374,23,Samaná,12,2018,3,1291,324290086
375,24,San Cristóbal,12,2018,3,1231,723378625
376,25,San Francisco de Macorís,12,2018,3,927,777621808
377,26,San José de Ocoa,12,2018,3,1077,1694791766
378,27,San José de las Matas,12,2018,3,919,636287839
379,28,San Juan de la Maguana,12,2018,3,4282,1383157542
380,29,Santiago,12,2018,3,500,449176503
381,30,Santiago Rodríguez,12,2018,3,1574,777042227
382,31,Santo Domingo,12,2018,3,1972,2577659768
383,32,Valverde Mao,12,2018,3,1160,1619991559
384,33,Villa Riva,12,2018,3,1188,496904639
385,1,Arenoso,13,2018,4,793,331024765
386,2,Azua,13,2018,4,1908,730266344
387,3,Baní,13,2018,4,711,591388137
388,4,Barahona,13,2018,4,2042,576080652
389,5,Bonao,13,2018,4,558,467147383
390,6,Comendador,13,2018,4,1577,296268232
391,7,Constanza,13,2018,4,1123,772422108
392,8,Cotuí,13,2018,4,1970,1247691846
393,9,Dajabón,13,2018,4,1217,509926959
394,10,El Seibo,13,2018,4,1103,384538409
395,11,Hato Mayor,13,2018,4,1125,907295028
396,12,Higüey,13,2018,4,1024,761023915
397,13,La Vega,13,2018,4,900,976879312
398,15,Moca,13,2018,4,909,678629907
399,16,Monte Plata,13,2018,4,1314,1228138755
400,17,Montecristí,13,2018,4,1088,784882847
401,18,Nagua,13,2018,4,962,472255325
402,19,Neyba,13,2018,4,1639,516108553
403,20,Puerto Plata,13,2018,4,1847,613536277
404,21,Río San Juan,13,2018,4,1043,473079369
405,22,Salcedo,13,2018,4,827,422445732
406,23,Samaná,13,2018,4,1289,330047493
