desembolso_cobro_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,desembolsos_rd,cobros_rd,balance_neto_rd
354,2,Azua,105,2025,12,80669827,59135778,21534049
355,3,Baní,105,2025,12,464728531,114486494,350242037
356,4,Barahona,105,2025,12,35823074,19066509,16756565
357,5,Bonao,105,2025,12,45760661,68851311,-23090650
358,6,Comendador,105,2025,12,25082831,18946007,6136824
359,7,Constanza,105,2025,12,164931656,122040821,42890835
360,8,Cotuí,105,2025,12,163693520,102439797,61253723
361,9,Dajabón,105,2025,12,146434242,61512776,84921466
362,10,El Seibo,105,2025,12,24170470,38860153,-14689683
363,11,Hato Mayor,105,2025,12,48507325,75703869,-27196544
364,12,Higüey,105,2025,12,38890466,49135989,-10245523
365,13,La Vega,105,2025,12,172768286,245028631,-72260345
366,14,Mao Valverde,105,2025,12,187957008,219077602,-31120594
367,15,Moca,105,2025,12,230927970,94066181,136861789
368,16,Monte Plata,105,2025,12,56090250,38900761,17189489
369,17,Montecristí,105,2025,12,140119304,66352028,73767276
370,18,Nagua,105,2025,12,105505160,61318024,44187136
371,19,Neyba,105,2025,12,25368062,17548489,7819573
372,20,Puerto Plata,105,2025,12,86113053,40169763,45943290
373,21,Río San Juan,105,2025,12,48858038,39647307,9210731
374,22,Salcedo,105,2025,12,41100858,13569520,27531338
375,23,Samaná,105,2025,12,42023979,31139634,10884345
376,24,San Cristóbal,105,2025,12,69831722,18435210,51396512
377,25,San Francisco de Macorís,105,2025,12,182016546,121278696,60737850
378,26,San José de Ocoa,105,2025,12,139135154,85658776,53476378
379,27,San José de las Matas,105,2025,12,46544978,23438434,23106544
380,28,San Juan de la Maguana,105,2025,12,116844182,62763947,54080235
381,29,Santiago,105,2025,12,170922831,116198333,54724498
382,30,Santiago Rodríguez,105,2025,12,64806832,30761633,34045199
383,31,Santo Domingo,105,2025,12,393617155,142527915,251089240
384,33,Villa Riva,105,2025,12,143007485,36701973,106305512
385,1,Arenoso,106,2026,1,81303883,33864100,47439783
386,2,Azua,106,2026,1,34208799,32606295,1602504
387,3,Baní,106,2026,1,53761375,43233880,10527495
388,4,Barahona,106,2026,1,18319482,21529469,-3209987
389,5,Bonao,106,2026,1,17909543,28164955,-10255412
390,6,Comendador,106,2026,1,12602169,34307234,-21705065
391,7,Constanza,106,2026,1,50839402,58982308,-8142906
392,8,Cotuí,106,2026,1,92282274,52743123,39539151
393,9,Dajabón,106,2026,1,31120989,31588900,-467911
394,10,El Seibo,106,2026,1,32791921,18750337,14041584
395,11,Hato Mayor,106,2026,1,31025047,23909419,7115628
396,12,Higüey,106,2026,1,5635454,26124748,-20489294
397,13,La Vega,106,2026,1,256407712,205800057,50607655
398,14,Mao Valverde,106,2026,1,42791029,84740419,-41949390
399,15,Moca,106,2026,1,35368606,42174142,-6805536
400,16,Monte Plata,106,2026,1,36048912,46881381,-10832469
401,17,Montecristí,106,2026,1,50293115,49415729,877386
402,18,Nagua,106,2026,1,45940357,49306542,-3366185
403,19,Neyba,106,2026,1,15070943,21993381,-6922438
404,20,Puerto Plata,106,2026,1,42709313,55734223,-13024910
405,21,Río San Juan,106,2026,1,35535516,18067966,17467550
406,22,Salcedo,106,2026,1,25067390,33578737,-8511347
407,23,Samaná,106,2026,1,23139381,18355203,4784178
408,24,San Cristóbal,106,2026,1,66162960,22551321,43611639
409,25,San Francisco de Macorís,106,2026,1,260933663,387990824,-127057161
410,26,San José de Ocoa,106,2026,1,78538342,57389872,21148470
411,27,San José de las Matas,106,2026,1,43508643,19393694,24114949
412,28,San Juan de la Maguana,106,2026,1,29594710,33629861,-4035151
413,29,Santiago,106,2026,1,202773719,197378966,5394753
414,30,Santiago Rodríguez,106,2026,1,50123505,42216945,7906560
415,31,Santo Domingo,106,2026,1,94351587,361817830,-267466243
416,33,Villa Riva,106,2026,1,12428537,20623894,-8195357
417,1,Arenoso,107,2026,2,65894526,28372005,37522521
418,2,Azua,107,2026,2,20693089,35887059,-15193970
419,3,Baní,107,2026,2,41373563,31280249,10093314
420,4,Barahona,107,2026,2,8520026,10178063,-1658037
421,5,Bonao,107,2026,2,7598643,23545881,-15947238
422,6,Comendador,107,2026,2,15625938,19503326,-3877388
423,7,Constanza,107,2026,2,104588834,90674755,13914079
424,8,Cotuí,107,2026,2,64765704,81565970,-16800266
425,9,Dajabón,107,2026,2,16489416,16275855,213561
426,10,El Seibo,107,2026,2,11981371,11574929,406442
427,11,Hato Mayor,107,2026,2,36835297,99793247,-62957950
428,12,Higüey,107,2026,2,34622219,31730113,2892106
429,13,La Vega,107,2026,2,87006880,146877419,-59870539
430,14,Mao Valverde,107,2026,2,60672721,111179588,-50506867
431,15,Moca,107,2026,2,80315645,46146256,34169389
432,16,Monte Plata,107,2026,2,46304959,66001161,-19696202
433,17,Montecristí,107,2026,2,45692260,72124579,-26432319
434,18,Nagua,107,2026,2,82533377,58306483,24226894
435,19,Neyba,107,2026,2,16449023,15887625,561398
436,20,Puerto Plata,107,2026,2,37323013,40575331,-3252318
437,21,Río San Juan,107,2026,2,35136752,21659804,13476948
438,22,Salcedo,107,2026,2,34779611,16019093,18760518
439,23,Samaná,107,2026,2,22801119,19735343,3065776
440,24,San Cristóbal,107,2026,2,27630622,17533873,10096749
441,25,San Francisco de Macorís,107,2026,2,128531650,92624358,35907292
442,26,San José de Ocoa,107,2026,2,112072128,117045440,-4973312
443,27,San José de las Matas,107,2026,2,34385984,27848816,6537168
444,28,San Juan de la Maguana,107,2026,2,52931411,60165374,-7233963
445,29,Santiago,107,2026,2,86214120,97950313,-11736193
446,30,Santiago Rodríguez,107,2026,2,44641375,26585364,18056011
447,31,Santo Domingo,107,2026,2,164135733,217193874,-53058141
448,33,Villa Riva,107,2026,2,25290130,16598503,8691627
449,1,Arenoso,108,2026,3,27789150,33644975,-5855825
450,2,Azua,108,2026,3,32490266,24816358,7673908
451,3,Baní,108,2026,3,71145331,58188091,12957240
452,4,Barahona,108,2026,3,9808260,8653335,1154925
453,5,Bonao,108,2026,3,91599550,82025668,9573882
454,6,Comendador,108,2026,3,11238028,17436785,-6198757
455,7,Constanza,108,2026,3,204809350,134582324,70227026
