monto_destino_id,destino_id,destino_nombre,rubro,tipo_operacion,periodo_id,anio,mes_numero,cantidad,valores_rd,tareas,beneficiados
205,40,Gallinas Ponedoras,Gallinas Ponedoras,General,5,2017,8,3,15580000,0,3
206,41,Ganado de Carne,Ganado de Carne,General,5,2017,8,83,85147000,0,83
207,42,Ganado de Carne (Com),Ganado de Carne,Com,5,2017,8,7,11130000,0,7
208,44,Ganado de Doble Propósito,Ganado de Doble Propósito,General,5,2017,8,45,48940000,0,45
209,45,Ganado de Leche,Ganado de Leche,General,5,2017,8,40,50197000,0,40
210,46,Ganado de Leche (Com.),Ganado de Leche,Com.,5,2017,8,0,0,0,0
211,51,Guandul (Comercialización),Guandul,Comercialización,5,2017,8,0,0,0,0
212,52,Guandul (Producción),Guandul,Producción,5,2017,8,2,350000,220,2
213,53,Guineo,Guineo,General,5,2017,8,4,1740000,175,4
214,57,Habichuela (Comercialización),Habichuela,Comercialización,5,2017,8,1,10000000,0,1
215,58,Habichuela (Producción),Habichuela,Producción,5,2017,8,0,0,0,0
216,59,Invernadero,Invernadero,General,5,2017,8,3,13862854,16,3
217,63,Maíz (Comercialización),Maíz,Comercialización,5,2017,8,0,0,0,0
218,64,Maíz (Producción),Maíz,Producción,5,2017,8,4,950000,530,4
219,68,Otros Agrícolas,Otros Agrícolas,General,5,2017,8,84,54256084,13661,84
220,69,Otros Avícolas,Otros Avícolas,General,5,2017,8,0,0,0,0
221,70,Otros Pecuarios,Otros Pecuarios,General,5,2017,8,46,23064043,0,46
222,72,Papa,Papa,General,5,2017,8,26,19560000,886,26
223,75,Piña,Piña,General,5,2017,8,21,20794000,1328,21
224,77,Plátano,Plátano,General,5,2017,8,40,21738000,3078,40
225,82,Pollos de Engorde,Pollos de Engorde,General,5,2017,8,60,33080000,0,60
226,85,Porcino (Comercialización),Porcino,Comercialización,5,2017,8,0,0,0,0
227,86,Porcino (Producción),Porcino,Producción,5,2017,8,54,24945000,0,54
228,87,Préstamos de Consumo,Préstamos de Consumo,General,5,2017,8,223,31277695,0,223
229,92,Tabaco (Comercialización),Tabaco,Comercialización,5,2017,8,2,450000,0,2
230,94,Tabaco (Producción),Tabaco,Producción,5,2017,8,0,0,0,0
231,97,Tomate Industrial,Tomate Industrial,General,5,2017,8,0,0,0,0
232,98,Tomate de Mesa,Tomate de Mesa,General,5,2017,8,15,4825000,216,15
233,100,Yautía,Yautía,General,5,2017,8,13,2895000,454,13
234,102,Yuca,Yuca,General,5,2017,8,13,1614000,592,13
235,104,Ñame,Ñame,General,5,2017,8,16,3220000,539,16
236,3,"Agro. Manufactura, Comercio V. y Otros","Agro. Manufactura, Comercio V. y Otros",General,6,2017,9,83,73278025,0,83
237,4,Aguacate (Producción),Aguacate,Producción,6,2017,9,11,2655000,480,11
238,8,Ajo (Comercialización),Ajo,Comercialización,6,2017,9,0,0,0,0
239,9,Ajo (Producción),Ajo,Producción,6,2017,9,4,4000000,112,4
240,10,Ají (Producción),Ají,Producción,6,2017,9,9,13693750,138,9
241,11,Apícola,Apícola,General,6,2017,9,2,945000,0,2
242,14,Arroz (Comercialización),Arroz,Comercialización,6,2017,9,5,61730000,0,5
243,17,Arroz (Producción),Arroz,Producción,6,2017,9,14,341151600,4712,14
244,20,Batata,Batata,General,6,2017,9,4,1000000,320,4
245,23,Cacao (Comercialización),Cacao,Comercialización,6,2017,9,5,56850000,0,5
246,24,Cacao (Producción),Cacao,Producción,6,2017,9,112,41642228,13644,112
247,26,Café (Comercialización),Café,Comercialización,6,2017,9,0,0,0,0
248,27,Café (Producción),Café,Producción,6,2017,9,0,0,0,0
249,28,Cebolla,Cebolla,General,6,2017,9,39,16595200,765,39
250,33,Coco (Comercialización),Coco,Comercialización,6,2017,9,0,0,0,0
251,34,Coco (Producción),Coco,Producción,6,2017,9,1,12500000,3421,1
252,40,Gallinas Ponedoras,Gallinas Ponedoras,General,6,2017,9,6,5700000,0,6
253,41,Ganado de Carne,Ganado de Carne,General,6,2017,9,55,41025000,0,55
254,42,Ganado de Carne (Com),Ganado de Carne,Com,6,2017,9,4,1555000,0,4
255,44,Ganado de Doble Propósito,Ganado de Doble Propósito,General,6,2017,9,33,50953948,0,33
256,45,Ganado de Leche,Ganado de Leche,General,6,2017,9,18,27458000,0,18
257,46,Ganado de Leche (Com.),Ganado de Leche,Com.,6,2017,9,0,0,0,0
258,51,Guandul (Comercialización),Guandul,Comercialización,6,2017,9,0,0,0,0
259,52,Guandul (Producción),Guandul,Producción,6,2017,9,0,0,0,0
260,53,Guineo,Guineo,General,6,2017,9,8,26948979,3321,8
261,57,Habichuela (Comercialización),Habichuela,Comercialización,6,2017,9,0,0,0,0
262,58,Habichuela (Producción),Habichuela,Producción,6,2017,9,0,0,0,0
263,59,Invernadero,Invernadero,General,6,2017,9,3,27546764,323,3
264,63,Maíz (Comercialización),Maíz,Comercialización,6,2017,9,0,0,0,0
265,64,Maíz (Producción),Maíz,Producción,6,2017,9,0,0,0,0
266,68,Otros Agrícolas,Otros Agrícolas,General,6,2017,9,89,144734042,16594,89
267,69,Otros Avícolas,Otros Avícolas,General,6,2017,9,1,40000,0,1
268,70,Otros Pecuarios,Otros Pecuarios,General,6,2017,9,30,13170708,0,30
269,72,Papa,Papa,General,6,2017,9,17,26490500,1053,17
270,75,Piña,Piña,General,6,2017,9,12,18355000,1577,12
271,77,Plátano,Plátano,General,6,2017,9,31,7584650,1788,31
272,82,Pollos de Engorde,Pollos de Engorde,General,6,2017,9,41,40890000,0,41
273,85,Porcino (Comercialización),Porcino,Comercialización,6,2017,9,0,0,0,0
274,86,Porcino (Producción),Porcino,Producción,6,2017,9,51,25474900,0,51
275,87,Préstamos de Consumo,Préstamos de Consumo,General,6,2017,9,170,47768208,0,170
276,92,Tabaco (Comercialización),Tabaco,Comercialización,6,2017,9,3,710000,0,3
277,94,Tabaco (Producción),Tabaco,Producción,6,2017,9,0,0,0,0
278,97,Tomate Industrial,Tomate Industrial,General,6,2017,9,1,125000,20,1
279,98,Tomate de Mesa,Tomate de Mesa,General,6,2017,9,23,14080000,476,23
280,100,Yautía,Yautía,General,6,2017,9,15,8246120,1034,15
281,102,Yuca,Yuca,General,6,2017,9,9,4275000,935,9
282,104,Ñame,Ñame,General,6,2017,9,17,3790000,693,17
283,3,"Agro. Manufactura, Comercio V. y Otros","Agro. Manufactura, Comercio V. y Otros",General,7,2017,10,291,349252498,0,292
284,4,Aguacate (Producción),Aguacate,Producción,7,2017,10,26,7370000,1230,26
285,8,Ajo (Comercialización),Ajo,Comercialización,7,2017,10,1,31000000,0,1
286,9,Ajo (Producción),Ajo,Producción,7,2017,10,17,13950000,414,17
287,10,Ají (Producción),Ají,Producción,7,2017,10,15,20710000,356,15
288,11,Apícola,Apícola,General,7,2017,10,2,230000,0,2
289,14,Arroz (Comercialización),Arroz,Comercialización,7,2017,10,16,292235000,0,16
290,17,Arroz (Producción),Arroz,Producción,7,2017,10,3,900000,200,3
291,20,Batata,Batata,General,7,2017,10,10,1500000,560,10
292,23,Cacao (Comercialización),Cacao,Comercialización,7,2017,10,12,363950000,0,12
293,24,Cacao (Producción),Cacao,Producción,7,2017,10,85,19364000,8256,85
294,26,Café (Comercialización),Café,Comercialización,7,2017,10,3,27100000,0,3
295,27,Café (Producción),Café,Producción,7,2017,10,24,5079000,1335,24
296,28,Cebolla,Cebolla,General,7,2017,10,32,13589320,786,32
297,33,Coco (Comercialización),Coco,Comercialización,7,2017,10,0,0,0,0
298,34,Coco (Producción),Coco,Producción,7,2017,10,6,16590000,1355,6
299,40,Gallinas Ponedoras,Gallinas Ponedoras,General,7,2017,10,4,35750000,0,4
300,41,Ganado de Carne,Ganado de Carne,General,7,2017,10,66,38555500,0,66
301,42,Ganado de Carne (Com),Ganado de Carne,Com,7,2017,10,5,3125000,0,5
302,44,Ganado de Doble Propósito,Ganado de Doble Propósito,General,7,2017,10,56,61075000,0,56
303,45,Ganado de Leche,Ganado de Leche,General,7,2017,10,27,20917300,0,27
304,46,Ganado de Leche (Com.),Ganado de Leche,Com.,7,2017,10,0,0,0,0
305,51,Guandul (Comercialización),Guandul,Comercialización,7,2017,10,0,0,0,0
306,52,Guandul (Producción),Guandul,Producción,7,2017,10,2,140000,90,2
307,53,Guineo,Guineo,General,7,2017,10,14,11410885,1136,14
308,57,Habichuela (Comercialización),Habichuela,Comercialización,7,2017,10,0,0,0,0
309,58,Habichuela (Producción),Habichuela,Producción,7,2017,10,64,13919000,3830,64
