Sucursal;Cantidad de Préstamos;Valor (RD$);Mes;Año
San Francisco de Macoris;891;739,683,827;Julio;2018
Cotui;1,905;1,264,536,294;Julio;2018
Villa Riva;1,106;364,806,432;Julio;2018
Arenoso;792;353,072,432;Julio;2018
Rio San Juan;1,023;462,107,218;Julio;2018
Nagua;1,100;498,606,319;Julio;2018
Samana;1,262;319,464,996;Julio;2018
La Vega;975;1,091,339,308;Julio;2018
Bonao;521;446,022,454;Julio;2018
Constanza;1,085;807,996,390;Julio;2018
Salcedo;807;417,965,184;Julio;2018
Moca;879;718,454,100;Julio;2018
Santiago;473;463,808,182;Julio;2018
Valverde Mao;1,179;1,776,651,183;Julio;2018
Montecristy;1,161;977,493,748;Julio;2018
Santiago Rodriguez;1,515;759,792,618;Julio;2018
Dajabón;1,203;509,569,266;Julio;2018
San Jose de las Matas;909;592,254,565;Julio;2018
Puerto Plata;1,768;585,533,326;Julio;2018
San Cristobal;1,173;739,914,543;Julio;2018
Bani;685;621,356,453;Julio;2018
San Jose de Ocoa;1,156;1,908,155,042;Julio;2018
Azua;1,933;730,056,289;Julio;2018
Santo Domingo;15;1,565,846,842;Agosto;2018
Monte Plata;7;1,426,264,689;Agosto;2018
Hato Mayor;4;996,753,117;Agosto;2018
El Seibo;8;395,739,561;Agosto;2018
Higuey;6;702,686,506;Agosto;2018
San Juan de la Maguana ;32;1,451,036,561;Agosto;2018
Barahona;25;615,346,422;Agosto;2018
Neyba;21;519,418,059;Agosto;2018
Comendador;27;284,647,651;Agosto;2018
San Francisco de Macoris;3;738,788,675;Agosto;2018
Cotui;5;1,302,669,027;Agosto;2018
Villa Riva;10;353,927,509;Agosto;2018
Arenoso;8;326,426,685;Agosto;2018
Rio San Juan;9;462,308,719;Agosto;2018
Nagua;16;403,632,776;Agosto;2018
Samana;29;315,029,868;Agosto;2018
La Vega;13;1,071,342,579;Agosto;2018
Bonao;3;404,352,549;Agosto;2018
Constanza;40;800,650,786;Agosto;2018
Salcedo;4;416,038,724;Agosto;2018
Moca;5;691,190,007;Agosto;2018
Santiago;10;442,020,651;Agosto;2018
Valverde Mao;4;1,833,997,010;Agosto;2018
Montecristy;6;988,775,836;Agosto;2018
