tipo_registro,anio,mes_numero,mes_nombre,periodo_fecha,sucursal_nombre,region,destino_nombre,rubro,tipo_operacion,cantidad_prestamos,valor_cartera_rd,tareas_financiadas,valor_area_rd,desembolsos_rd,cobros_rd,balance_neto_rd,cantidad_destino,valores_destino_rd,tareas_destino,beneficiados
Cartera prestamos,2017,9,Septiembre,2017-09-01,Arenoso,Cibao Nordeste,,,,753,271916326,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Azua,Sur,,,,1953,633177370,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Baní,Sur,,,,775,543439959,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Barahona,Sur,,,,2093,574493920,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Bonao,Cibao Nordeste,,,,607,422597019,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Comendador,Sur,,,,1797,321952459,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Constanza,Cibao Norte,,,,1231,768985754,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Cotuí,Cibao Nordeste,,,,1961,1011507745,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Dajabón,Cibao Noroeste,,,,1150,479825767,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,El Seibo,Este,,,,1120,305813624,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Hato Mayor,Este,,,,1121,614547279,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Higüey,Este,,,,1157,783596012,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,La Vega,Cibao Norte,,,,941,904393055,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Moca,Cibao Norte,,,,950,617870820,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Monte Plata,Metropolitana,,,,1279,1003521742,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Montecristí,Cibao Noroeste,,,,999,1316962724,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Nagua,Cibao Nordeste,,,,1070,405709937,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Neyba,Sur,,,,1631,462522826,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Puerto Plata,Cibao Norte,,,,1847,544589612,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Río San Juan,Cibao Nordeste,,,,974,440812659,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Salcedo,Cibao Nordeste,,,,833,395011593,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,Samaná,Cibao Nordeste,,,,1250,296968699,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,San Cristóbal,Sur,,,,1244,639078012,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,9,Septiembre,2017-09-01,San Francisco de Macorís,Cibao Nordeste,,,,811,654835078,0,0,0,0,0,0,0,0,0
